d,N,seed,eps,kl_converged,kl_final_e_tr,kl_gibbs_calls,md_converged,md_final_e_tr,md_gibbs_calls
3,3,0,0.1,False,1.0889234248324127,4001,True,9.607864953889431e-09,585
3,3,1,0.1,False,1.020135396189814,4001,True,9.998601639332472e-09,1348
3,3,2,0.1,False,1.3021141962078209,4001,True,9.556530096082082e-09,382
3,3,3,0.1,False,1.0160244201620792,4001,True,9.731632019227958e-09,591
3,3,4,0.1,False,1.1040659116198208,4001,True,9.918157283997973e-09,3385
3,3,5,0.1,False,1.0548154107304395,4001,True,9.802564219311829e-09,585
3,3,6,0.1,False,1.2039694540825385,4001,True,9.531751199296707e-09,517
3,3,7,0.1,False,1.03427004779222,4001,True,9.330167759921905e-09,287
3,3,8,0.1,False,1.1731391512001148,4001,True,9.725646333188215e-09,389
3,3,9,0.1,False,1.1846633851575166,4001,True,9.8150115343338e-09,296
3,3,0,0.1333521432163324,False,1.0280294612597813,4001,True,9.193843177793637e-09,435
3,3,1,0.1333521432163324,False,0.9982915313530958,4001,True,9.959013308293504e-09,1012
3,3,2,0.1333521432163324,False,1.2028551678616406,4001,True,9.904474620741324e-09,284
3,3,3,0.1333521432163324,False,1.0007087568862836,4001,True,9.676228157995646e-09,422
3,3,4,0.1333521432163324,False,1.0561523813715699,4001,True,9.992928982221764e-09,2567
3,3,5,0.1333521432163324,False,0.9450516505457206,4001,True,9.236745634904617e-09,434
3,3,6,0.1333521432163324,False,1.1683290406854039,4001,True,9.582582740881354e-09,377
3,3,7,0.1333521432163324,False,0.9739133460839949,4001,True,9.624343032449418e-09,207
3,3,8,0.1333521432163324,False,1.1157591577307786,4001,True,9.942434795759932e-09,277
3,3,9,0.1333521432163324,False,1.1668689846494316,4001,True,9.116502369372726e-09,211
3,3,0,0.1778279410038923,False,0.9158789757157382,4001,True,9.966968288340327e-09,321
3,3,1,0.1778279410038923,False,0.8418384211848364,4001,True,9.957512031918315e-09,757
3,3,2,0.1778279410038923,False,0.8989706857978046,4001,True,9.21159788623426e-09,204
3,3,3,0.1778279410038923,False,0.9377687784274273,4001,True,9.453065369857766e-09,290
3,3,4,0.1778279410038923,False,0.7354400047047227,4001,True,9.975164612932811e-09,1952
3,3,5,0.1778279410038923,False,0.4030148712074316,4001,True,9.975668290982538e-09,318
3,3,6,0.1778279410038923,False,0.9666807920964319,4001,True,8.90618763399006e-09,273
3,3,7,0.1778279410038923,False,0.7946665881158015,4001,True,8.07477665196194e-09,152
3,3,8,0.1778279410038923,False,0.9686639828556839,4001,True,9.95345421488168e-09,189
3,3,9,0.1778279410038923,False,0.9547617243357011,4001,True,8.834926698730449e-09,143
3,3,0,0.23713737056616552,True,8.675130925845666e-09,76,True,9.87188681516504e-09,231
3,3,1,0.23713737056616552,True,9.794359367708792e-09,140,True,9.451941985539234e-09,567
3,3,2,0.23713737056616552,True,9.099990004062837e-09,54,True,9.926910703807906e-09,137
3,3,3,0.23713737056616552,True,9.04502244488318e-09,81,True,8.546365465649376e-09,187
3,3,4,0.23713737056616552,True,9.901508297785908e-09,381,True,9.867623585882858e-09,1484
3,3,5,0.23713737056616552,True,8.74690359889687e-09,55,True,9.308184272848077e-09,228
3,3,6,0.23713737056616552,True,8.356936968361977e-09,83,True,8.75056971912635e-09,194
3,3,7,0.23713737056616552,True,8.705207018620273e-09,62,True,7.105317871202169e-09,108
3,3,8,0.23713737056616552,True,9.039112949131693e-09,117,True,7.94656641703667e-09,124
3,3,9,0.23713737056616552,True,9.50573053072175e-09,53,True,8.79882734021254e-09,91
3,3,0,0.31622776601683794,True,9.807092880982709e-09,53,True,9.777708182935495e-09,157
3,3,1,0.31622776601683794,True,9.358351556935392e-09,141,True,9.321464528214277e-09,421
3,3,2,0.31622776601683794,True,8.868992204590987e-09,29,True,8.81237366184941e-09,87
3,3,3,0.31622776601683794,True,9.129724408053114e-09,41,True,8.261342577253511e-09,126
3,3,4,0.31622776601683794,True,9.84353535518613e-09,389,True,9.934962198745884e-09,1126
3,3,5,0.31622776601683794,True,9.037055926959437e-09,51,True,9.278463652402482e-09,154
3,3,6,0.31622776601683794,True,7.90909488899482e-09,44,True,9.7979412498711e-09,131
3,3,7,0.31622776601683794,True,6.108253311343113e-09,27,True,7.900400337811642e-09,75
3,3,8,0.31622776601683794,True,6.3442451848696085e-09,30,True,8.163001699402882e-09,79
3,3,9,0.31622776601683794,True,8.745972035374646e-09,23,True,9.611219312675482e-09,59
3,3,0,0.4216965034285822,True,9.016505035016767e-09,47,True,9.791183119751397e-09,97
3,3,1,0.4216965034285822,True,9.742641501528279e-09,140,True,9.991963701322362e-09,308
3,3,2,0.4216965034285822,True,5.782315119979712e-09,28,True,9.382234443127013e-09,56
3,3,3,0.4216965034285822,True,9.623216316151533e-09,36,True,9.766619807726385e-09,76
3,3,4,0.4216965034285822,True,9.758820118069988e-09,395,True,9.781887842150969e-09,850
3,3,5,0.4216965034285822,True,7.156677855609658e-09,45,True,9.839219528477789e-09,94
3,3,6,0.4216965034285822,True,7.810714898459515e-09,40,True,6.770242901760802e-09,84
3,3,7,0.4216965034285822,True,9.265614096863546e-09,29,True,9.011658799450782e-09,52
3,3,8,0.4216965034285822,True,9.130307198105862e-09,32,True,7.3425426398005965e-09,52
3,3,9,0.4216965034285822,True,5.701854623773492e-09,27,True,8.388154004793057e-09,43
3,3,0,0.5623413251903491,True,8.976495419734977e-09,43,True,7.793926549525237e-09,60
3,3,1,0.5623413251903491,True,9.228368779391492e-09,137,True,9.837902707697106e-09,221
3,3,2,0.5623413251903491,True,7.971453178301216e-09,34,True,7.103697569584214e-09,38
3,3,3,0.5623413251903491,True,7.719623340067947e-09,36,True,6.666356686287087e-09,50
3,3,4,0.5623413251903491,True,9.786049740998367e-09,398,True,9.619770239816293e-09,637
3,3,5,0.5623413251903491,True,7.69357870355184e-09,41,True,6.173528929526088e-09,59
3,3,6,0.5623413251903491,True,7.2143739894037645e-09,39,True,9.49124005245594e-09,53
3,3,7,0.5623413251903491,True,9.786079306994457e-09,34,True,6.3845332855233515e-09,39
3,3,8,0.5623413251903491,True,9.429218480569916e-09,37,True,9.77906968016036e-09,36
3,3,9,0.5623413251903491,True,8.88130453028592e-09,32,True,4.01372002266369e-09,34
3,3,0,0.7498942093324559,True,7.573056045107715e-09,45,True,7.615271538814947e-09,39
3,3,1,0.7498942093324559,True,9.66760800017538e-09,119,True,9.693718455977518e-09,138
3,3,2,0.7498942093324559,True,8.355301736811648e-09,43,True,8.01909264433877e-09,28
3,3,3,0.7498942093324559,True,7.755576647941214e-09,43,True,9.068763528518543e-09,34
3,3,4,0.7498942093324559,True,9.913615311915567e-09,398,True,9.757360456375656e-09,472
3,3,5,0.7498942093324559,True,8.052971722433127e-09,43,True,8.950074799490313e-09,39
3,3,6,0.7498942093324559,True,7.276966014682127e-09,43,True,6.701023820081135e-09,38
3,3,7,0.7498942093324559,True,9.44841077637076e-09,42,True,4.32830567334298e-09,30
3,3,8,0.7498942093324559,True,9.563247538270433e-09,45,True,3.870747425046383e-09,30
3,3,9,0.7498942093324559,True,7.073171757576004e-09,41,True,9.776363230102348e-09,26
3,3,0,1.0,True,8.442958303540664e-09,55,True,6.818835552306834e-09,28
3,3,1,1.0,True,9.200150384606425e-09,92,True,8.247449066477876e-09,72
3,3,2,1.0,True,9.76128517883913e-09,55,True,5.875812832292849e-09,23
3,3,3,1.0,True,8.713020100711964e-09,55,True,7.587650457654665e-09,26
3,3,4,1.0,True,9.820495593185243e-09,396,True,9.917951958489206e-09,347
3,3,5,1.0,True,8.973432682035888e-09,54,True,6.186183838977618e-09,29
3,3,6,1.0,True,9.768895999981044e-09,53,True,7.66145108929104e-09,28
3,3,7,1.0,True,8.458712284494906e-09,54,True,4.2997216175524676e-09,24
3,3,8,1.0,True,8.876451199720371e-09,57,True,7.359368295591926e-09,24
3,3,9,1.0,True,7.364449062181415e-09,53,True,4.238631492898963e-09,22
