N,d,seed,eps,T,eta,eta_ref,converged,final_e_tr,gibbs_calls,ref_converged,same_limit_vs_ref,dist_pi_vs_ref
2,3,0,0.5,4000,0.25,0.5,True,9.394075642754807e-09,66,True,True,7.18490947605905e-10
2,3,1,0.5,4000,0.25,0.5,True,9.937114109175555e-09,192,True,True,4.733043912733257e-09
2,3,2,0.5,4000,0.25,0.5,True,8.925759870604255e-09,52,True,True,5.641979982274557e-09
2,3,3,0.5,4000,0.25,0.5,True,8.804032534178027e-09,53,True,True,1.1086684446027096e-09
2,3,4,0.5,4000,0.25,0.5,True,8.860114222361193e-09,91,True,True,6.0991057692911244e-09
2,3,0,0.5,4000,0.3125,0.5,True,7.507515018851494e-09,52,True,True,3.4873165668473696e-09
2,3,1,0.5,4000,0.3125,0.5,True,9.417219663261641e-09,153,True,True,1.98721707018899e-09
2,3,2,0.5,4000,0.3125,0.5,True,8.747900427390622e-09,40,True,True,5.323009508473859e-09
2,3,3,0.5,4000,0.3125,0.5,True,7.753564832821701e-09,41,True,True,1.2616621998619757e-09
2,3,4,0.5,4000,0.3125,0.5,True,9.384701582858758e-09,71,True,True,8.253741862063685e-09
2,3,0,0.5,4000,0.375,0.5,True,7.466594342887917e-09,42,True,True,3.573065630323768e-09
2,3,1,0.5,4000,0.375,0.5,True,9.810329550833202e-09,126,True,True,3.0941996038127974e-09
2,3,2,0.5,4000,0.375,0.5,True,8.232652130207344e-09,32,True,True,4.401698925026419e-09
2,3,3,0.5,4000,0.375,0.5,True,6.514390882275718e-09,33,True,True,3.1599510117227544e-09
2,3,4,0.5,4000,0.375,0.5,True,9.079987579523262e-09,58,True,True,7.0021877959512875e-09
2,3,0,0.5,4000,0.4375,0.5,True,6.831569642186583e-09,35,True,True,4.985351331653825e-09
2,3,1,0.5,4000,0.4375,0.5,True,9.86951656035854e-09,107,True,True,3.859265724270523e-09
2,3,2,0.5,4000,0.4375,0.5,True,8.58952814466468e-09,26,True,True,5.056990204752129e-09
2,3,3,0.5,4000,0.4375,0.5,True,6.230495464679179e-09,27,True,True,3.6019865928178323e-09
2,3,4,0.5,4000,0.4375,0.5,True,7.945466588428186e-09,49,True,True,2.3423626626088735e-09
2,3,0,0.5,4000,0.5,0.5,True,9.063186761964796e-09,29,True,True,0.0
2,3,1,0.5,4000,0.5,0.5,True,9.570954830791407e-09,93,True,True,0.0
2,3,2,0.5,4000,0.5,0.5,True,5.8271126191333015e-09,22,True,True,0.0
2,3,3,0.5,4000,0.5,0.5,True,8.46458547652941e-09,22,True,True,0.0
2,3,4,0.5,4000,0.5,0.5,True,7.375174704227416e-09,42,True,True,0.0
2,3,0,0.5,4000,0.5625,0.5,True,7.850254842293233e-09,25,True,True,2.784766171311439e-09
2,3,1,0.5,4000,0.5625,0.5,True,9.38778526328705e-09,82,True,True,2.367689134521662e-09
2,3,2,0.5,4000,0.5625,0.5,True,7.96531034055342e-09,22,True,True,1.4142764054276972e-08
2,3,3,0.5,4000,0.5625,0.5,True,7.72196538142926e-09,23,True,True,1.665899963593228e-08
2,3,4,0.5,4000,0.5625,0.5,True,8.231359701517198e-09,36,True,True,3.5174518449083115e-09
2,3,0,0.5,4000,0.625,0.5,True,7.92996159701847e-09,29,True,True,2.1622954749292316e-08
2,3,1,0.5,4000,0.625,0.5,True,9.465997613564895e-09,73,True,True,1.3567675079489494e-09
2,3,2,0.5,4000,0.625,0.5,True,6.957691966087727e-09,30,True,True,1.3623383808114176e-08
2,3,3,0.5,4000,0.625,0.5,True,6.5730849556938234e-09,37,True,True,1.6063165522992082e-08
2,3,4,0.5,4000,0.625,0.5,True,6.767622551067845e-09,44,True,True,3.091171050676991e-08
2,3,0,0.5,4000,0.6875,0.5,True,7.926311010547909e-09,49,True,True,2.154223830259284e-08
2,3,1,0.5,4000,0.6875,0.5,True,8.891253365020404e-09,114,True,True,1.2317289562182735e-07
2,3,2,0.5,4000,0.6875,0.5,True,9.419870751775446e-09,65,True,True,1.586117348186153e-08
2,3,3,0.5,4000,0.6875,0.5,True,9.939502508825455e-09,69,True,True,1.854032803412364e-08
2,3,4,0.5,4000,0.6875,0.5,True,8.69094394063429e-09,98,True,True,3.1686100422699605e-08
2,3,0,0.5,4000,0.75,0.5,True,9.014042975327258e-09,117,True,True,2.2005129262123076e-08
2,3,1,0.5,4000,0.75,0.5,False,0.9132886833549936,4001,True,False,0.9393002750752288
2,3,2,0.5,4000,0.75,0.5,True,9.530228392640804e-09,305,True,True,1.5967198184537447e-08
2,3,3,0.5,4000,0.75,0.5,True,9.767654364132159e-09,289,True,True,1.8400968381731048e-08
2,3,4,0.5,4000,0.75,0.5,False,0.30647691578351854,4001,True,False,0.3365232681104
2,3,0,0.5,4000,0.8125,0.5,False,0.9329058688657287,4001,True,False,1.004089548706425
2,3,1,0.5,4000,0.8125,0.5,False,1.34771157039838,4001,True,False,1.4196881415893388
2,3,2,0.5,4000,0.8125,0.5,False,1.245095003471683,4001,True,False,1.3024341908313004
2,3,3,0.5,4000,0.8125,0.5,False,1.1189073905384543,4001,True,False,1.1803821298410195
2,3,4,0.5,4000,0.8125,0.5,False,1.1819804122157764,4001,True,False,1.2871416995649065
2,3,0,0.5,4000,0.875,0.5,False,1.2541010279230764,4001,True,False,1.3558306103947388
2,3,1,0.5,4000,0.875,0.5,False,1.4056129598472629,4001,True,False,1.4981664055657355
2,3,2,0.5,4000,0.875,0.5,False,1.4198758891469365,4001,True,False,1.523790983065202
2,3,3,0.5,4000,0.875,0.5,False,1.253198175185317,4001,True,False,1.352879047966418
2,3,4,0.5,4000,0.875,0.5,False,1.3140737925054822,4001,True,False,1.4450266000086467
2,3,0,0.5,4000,0.9375,0.5,False,1.2949081380538328,4001,True,False,1.4306200649993492
2,3,1,0.5,4000,0.9375,0.5,False,1.4145056363118915,4001,True,False,1.5161098958028987
2,3,2,0.5,4000,0.9375,0.5,False,1.4702369443732861,4001,True,False,1.6264400621207729
2,3,3,0.5,4000,0.9375,0.5,False,1.2731199110964382,4001,True,False,1.416215081977252
2,3,4,0.5,4000,0.9375,0.5,False,1.344099314637365,4001,True,False,1.4887702856966305
2,3,0,0.5,4000,1.0,0.5,False,1.3271694828936271,4001,True,False,1.482447205319974
2,3,1,0.5,4000,1.0,0.5,False,1.405309388797518,4001,True,False,1.5125959052406341
2,3,2,0.5,4000,1.0,0.5,False,1.4822266812754625,4001,True,False,1.6943176658078865
2,3,3,0.5,4000,1.0,0.5,False,1.273211433979337,4001,True,False,1.463045910846354
2,3,4,0.5,4000,1.0,0.5,False,1.3415394848526028,4001,True,False,1.5016124847795327
